# lambda_(microns) HII  LINER Sy2  Sy1 
  23.6          2.99 3.69  2.62 1.96
  23.5          2.94 3.62  2.58 1.95
  23.4          2.88 3.51  2.55 1.93
  23.3          2.83 3.42  2.52 1.91
  23.2          2.78 3.36  2.47 1.9 
  23.1          2.72 3.27  2.45 1.89
  23.0          2.68 3.21  2.42 1.88
  22.9          2.65 3.16  2.39 1.86
  22.8          2.59 3.09  2.35 1.84
  22.7          2.54 3.03  2.33 1.83
  22.6          2.5  2.98  2.3  1.81
  22.5          2.46 2.92  2.27 1.79
  22.4          2.43 2.87  2.25 1.79
  22.3          2.38 2.81  2.23 1.78
  22.2          2.35 2.76  2.18 1.77
  22.1          2.3  2.71  2.15 1.76
  22.0          2.27 2.67  2.13 1.74
  21.9          2.23 2.61  2.11 1.71
  21.8          2.2  2.56  2.09 1.7 
  21.7          2.17 2.51  2.06 1.69
  21.6          2.12 2.43  2.04 1.68
  21.5          2.08 2.36  2.01 1.68
  21.4          2.02 2.31  1.98 1.66
  21.3          1.98 2.26  1.96 1.64
  21.2          1.94 2.21  1.92 1.62
  21.1          1.91 2.16  1.9  1.6 
  21.0          1.87 2.11  1.88 1.59
  20.9          1.84 2.06  1.86 1.58
  20.8          1.8  2.01  1.84 1.58
  20.7          1.75 1.96  1.81 1.56
  20.6          1.72 1.91  1.77 1.55
  20.5          1.7  1.87  1.76 1.53
  20.4          1.67 1.83  1.73 1.52
  20.3          1.62 1.77  1.72 1.52
  20.2          1.59 1.72  1.69 1.51
  20.1          1.55 1.66  1.66 1.49
  20.0          1.51 1.6   1.63 1.47
  19.9          1.45 1.53  1.6  1.45
  19.8          1.42 1.47  1.57 1.45
  19.7          1.39 1.42  1.55 1.44
  19.6          1.35 1.37  1.53 1.43
  19.5          1.31 1.33  1.5  1.41
  19.4          1.27 1.26  1.47 1.39
  19.3          1.24 1.22  1.43 1.38
  19.2          1.22 1.18  1.42 1.38
  19.1          1.19 1.15  1.4  1.36
  19.0          1.18 1.11  1.38 1.35
  18.9          1.19 1.09  1.38 1.34
  18.8          1.24 1.08  1.41 1.35
  18.7          1.26 1.08  1.41 1.35
  18.6          1.16 1.0   1.34 1.32
  18.5          1.05 0.95  1.27 1.3 
  18.4          1.03 0.91  1.24 1.29
  18.3          1.01 0.89  1.22 1.28
  18.2          1.01 0.88  1.22 1.26
  18.1          1.0  0.87  1.21 1.26
  18.0          0.99 0.88  1.2  1.24
  17.9          1.0  0.87  1.21 1.25
  17.8          0.98 0.87  1.19 1.23
  17.7          0.98 0.86  1.17 1.23
  17.6          0.99 0.85  1.17 1.2 
  17.5          0.99 0.86  1.17 1.2 
  17.4          1.03 0.87  1.18 1.2 
  17.3          1.03 0.87  1.16 1.19
  17.2          1.01 0.87  1.15 1.19
  17.1          1.12 0.97  1.19 1.19
  17.0          1.13 0.98  1.19 1.18
  16.9          0.99 0.84  1.11 1.16
  16.8          0.96 0.81  1.09 1.15
  16.7          0.94 0.8   1.07 1.13
  16.6          0.94 0.79  1.07 1.12
  16.5          0.98 0.8   1.07 1.12
  16.4          0.97 0.81  1.06 1.11
  16.3          0.86 0.75  1.01 1.09
  16.2          0.8  0.72  1.0  1.07
  16.1          0.78 0.72  0.99 1.06
  16.0          0.79 0.74  0.98 1.05
  15.9          0.8  0.75  0.99 1.05
  15.8          0.8  0.78  0.98 1.04
  15.7          0.8  0.8   1.02 1.03
  15.6          0.93 0.9   1.15 1.1 
  15.5          0.95 0.91  1.13 1.09
  15.4          0.81 0.86  0.98 1.01
  15.3          0.79 0.86  0.96 1.0 
  15.2          0.79 0.87  0.96 0.99
  15.1          0.8  0.89  0.96 0.98
  15.0          0.81 0.9   0.96 0.97
  14.9          0.82 0.92  0.95 0.97
  14.8          0.8  0.92  0.94 0.96
  14.7          0.81 0.93  0.93 0.96
  14.6          0.79 0.92  0.92 0.94
  14.5          0.8  0.91  0.92 0.94
  14.4          0.81 0.91  0.94 0.95
  14.3          0.83 0.9   0.95 0.96
  14.2          0.81 0.88  0.9  0.92
  14.1          0.79 0.85  0.87 0.9 
  14.0          0.77 0.83  0.85 0.89
  13.9          0.75 0.82  0.84 0.88
  13.8          0.75 0.8   0.83 0.87
  13.7          0.76 0.79  0.82 0.86
  13.6          0.78 0.8   0.83 0.86
  13.5          0.78 0.81  0.81 0.85
  13.4          0.77 0.8   0.8  0.84
  13.3          0.76 0.78  0.79 0.84
  13.2          0.76 0.77  0.79 0.84
  13.1          0.76 0.77  0.77 0.83
  13.0          0.77 0.78  0.78 0.83
  12.9          1.07 0.95  0.87 0.85
  12.8          1.53 1.2   1.01 0.93
  12.7          1.06 0.89  0.87 0.85
  12.6          0.93 0.78  0.79 0.82
  12.5          0.84 0.7   0.74 0.81
  12.4          0.77 0.62  0.71 0.79
  12.3          0.74 0.59  0.69 0.78
  12.2          0.64 0.49  0.64 0.76
  12.1          0.61 0.43  0.6  0.75
  12.0          0.59 0.4   0.58 0.74
  11.9          0.54 0.35  0.55 0.73
  11.8          0.48 0.3   0.51 0.72
  11.7          0.46 0.28  0.49 0.71
  11.6          0.48 0.27  0.48 0.7 
  11.5          0.53 0.28  0.49 0.71
  11.4          0.64 0.33  0.51 0.72
  11.3          0.85 0.42  0.57 0.74
  11.2          0.8  0.39  0.53 0.72
  11.1          0.38 0.19  0.39 0.67
  11.0          0.29 0.14  0.34 0.65
  10.9          0.22 0.11  0.31 0.64
  10.8          0.21 0.1   0.3  0.63
  10.7          0.2  0.1   0.29 0.62
  10.6          0.2  0.09  0.29 0.62
  10.5          0.19 0.09  0.3  0.63
  10.4          0.15 0.07  0.25 0.6 
  10.3          0.14 0.06  0.24 0.59
  10.2          0.13 0.06  0.22 0.58
  10.1          0.13 0.06  0.22 0.58
  10.0          0.12 0.06  0.21 0.57
  9.9           0.12 0.05  0.2  0.56
  9.8           0.12 0.06  0.2  0.56
  9.7           0.16 0.09  0.21 0.55
  9.6           0.14 0.07  0.2  0.54
  9.5           0.14 0.06  0.19 0.53
  9.4           0.14 0.06  0.2  0.52
  9.3           0.15 0.07  0.2  0.51
  9.2           0.16 0.08  0.21 0.5 
  9.1           0.18 0.09  0.22 0.5 
  9.0           0.23 0.11  0.25 0.5 
  8.9           0.27 0.14  0.25 0.49
  8.8           0.35 0.19  0.29 0.49
  8.7           0.48 0.26  0.33 0.5 
  8.6           0.58 0.33  0.37 0.5 
  8.5           0.58 0.35  0.37 0.5 
  8.4           0.56 0.38  0.38 0.49
  8.3           0.57 0.42  0.38 0.49
  8.2           0.58 0.46  0.39 0.48
  8.1           0.65 0.51  0.41 0.49
  8.0           0.77 0.59  0.45 0.49
  7.9           0.9  0.65  0.48 0.5 
  7.8           0.98 0.69  0.5  0.5 
  7.7           0.98 0.67  0.51 0.51
  7.6           1.0  0.67  0.5  0.5 
  7.5           0.81 0.57  0.44 0.47
  7.4           0.6  0.44  0.37 0.44
  7.3           0.48 0.34  0.31 0.42
  7.2           0.4  0.3   0.29 0.41
  7.1           0.39 0.3   0.28 0.4 
  7.0           0.43 0.29  0.29 0.4 
  6.9           0.34 0.24  0.26 0.38
  6.8           0.31 0.21  0.23 0.37
  6.7           0.31 0.25  0.24 0.37
  6.6           0.29 0.23  0.23 0.36
  6.5           0.28 0.21  0.22 0.36
  6.4           0.32 0.22  0.23 0.35
  6.3           0.44 0.26  0.26 0.36
  6.2           0.57 0.33  0.3  0.37
  6.1           0.26 0.17  0.2  0.34
  6.0           0.22 0.14  0.19 0.32
  5.9           0.18 0.12  0.17 0.31
  5.8           0.18 0.13  0.17 0.31
  5.7           0.22 0.17  0.18 0.31
