# lambda mean    PC1      PC2      PC3      PC4      PC5     
  23.6   3.10981 0.25968  0.04129  0.03899  -0.10173 -0.08506
  23.5   3.05286 0.25017  0.03546  0.04059  -0.09249 -0.07371
  23.4   2.98376 0.23673  0.02531  0.03548  -0.06825 -0.07605
  23.3   2.92152 0.22527  0.01902  0.03318  -0.05283 -0.05269
  23.2   2.87314 0.21903  0.01725  0.03663  -0.05649 -0.04258
  23.1   2.81182 0.20922  0.0068   0.03797  -0.05291 -0.0315 
  23.0   2.76907 0.20135  0.00449  0.04691  -0.05073 -0.03721
  22.9   2.7303  0.19586  0.00353  0.05362  -0.05839 -0.01716
  22.8   2.67875 0.18728  -0.00117 0.04781  -0.03819 -0.01271
  22.7   2.63205 0.17931  -0.00813 0.03993  -0.03432 -0.03133
  22.6   2.59056 0.17513  -0.01177 0.03053  -0.02934 -0.02902
  22.5   2.54584 0.16836  -0.01864 0.02229  -0.0158  -5.6E-4 
  22.4   2.51135 0.16222  -0.0151  0.01676  -0.00974 -0.01993
  22.3   2.47111 0.15702  -0.01497 0.01723  -0.01598 0.01055 
  22.2   2.42966 0.15076  -0.01607 0.00894  -0.01034 -7.6E-4 
  22.1   2.38723 0.14406  -0.0168  0.00665  -0.00737 -0.01814
  22.0   2.35436 0.14062  -0.02061 0.00984  -0.0128  -0.01764
  21.9   2.31637 0.1336   -0.02591 0.00462  0.00889  -0.00373
  21.8   2.27881 0.12854  -0.02734 0.00721  -0.00144 -0.02127
  21.7   2.24282 0.12408  -0.03038 0.00897  4.5E-4   -0.0031 
  21.6   2.1883  0.11475  -0.03715 6.0E-4   0.01012  0.01907 
  21.5   2.14044 0.10426  -0.03686 0.00643  0.02426  0.02812 
  21.4   2.09685 0.10027  -0.04365 0.00409  0.0109   0.04465 
  21.3   2.06037 0.09424  -0.04582 -0.00113 0.01868  0.04399 
  21.2   2.01699 0.08781  -0.05058 -0.00384 0.03117  0.03062 
  21.1   1.97936 0.08168  -0.04772 -0.00627 0.03743  0.02536 
  21.0   1.94212 0.07765  -0.0542  -0.00335 0.03115  0.03786 
  20.9   1.9094  0.07278  -0.05071 -0.00352 0.03754  0.05058 
  20.8   1.87147 0.06613  -0.05698 -0.00538 0.03642  0.05945 
  20.7   1.82851 0.0605   -0.06328 -0.01173 0.04292  0.05401 
  20.6   1.79454 0.05535  -0.06054 -0.00928 0.04279  0.05053 
  20.5   1.76515 0.05029  -0.06308 -0.00691 0.04644  0.05697 
  20.4   1.73392 0.04772  -0.06736 -0.01336 0.05332  0.04973 
  20.3   1.69063 0.03941  -0.07109 -0.01039 0.05645  0.05424 
  20.2   1.6513  0.03438  -0.07357 -0.00516 0.04475  0.06265 
  20.1   1.61221 0.02868  -0.07186 -0.00897 0.04675  0.06899 
  20.0   1.56722 0.02068  -0.07474 0.00324  0.06148  0.07497 
  19.9   1.50963 0.01351  -0.08286 0.01236  0.0431   0.08899 
  19.8   1.47315 0.00667  -0.08825 0.01203  0.04189  0.08286 
  19.7   1.43792 0.00168  -0.09315 0.0173   0.03687  0.08161 
  19.6   1.39775 -0.00323 -0.1023  0.02855  0.03635  0.08153 
  19.5   1.36221 -0.00629 -0.10368 0.0295   0.034    0.07913 
  19.4   1.31679 -0.01414 -0.10592 0.02942  0.04546  0.06727 
  19.3   1.28414 -0.01774 -0.10577 0.03518  0.03468  0.06947 
  19.2   1.25586 -0.02406 -0.10903 0.03842  0.04171  0.05543 
  19.1   1.2297  -0.02617 -0.11002 0.04288  0.04159  0.06783 
  19.0   1.20579 -0.03059 -0.10397 0.05005  0.04815  0.05863 
  18.9   1.1961  -0.03365 -0.10064 0.06534  0.05371  0.05791 
  18.8   1.2115  -0.03865 -0.10273 0.10086  0.0791   0.06129 
  18.7   1.2164  -0.0408  -0.10134 0.12365  0.09541  0.04361 
  18.6   1.13927 -0.04558 -0.10374 0.09043  0.06897  0.056   
  18.5   1.07378 -0.0456  -0.11141 0.04885  0.0338   0.05899 
  18.4   1.04663 -0.04798 -0.11056 0.04639  0.02848  0.05302 
  18.3   1.02669 -0.05023 -0.10897 0.04557  0.03041  0.05798 
  18.2   1.01933 -0.05088 -0.10596 0.05331  0.03542  0.05342 
  18.1   1.01388 -0.0507  -0.10165 0.04907  0.032    0.0416  
  18.0   1.00927 -0.04778 -0.10098 0.04983  0.03292  0.04158 
  17.9   1.00885 -0.05015 -0.0945  0.04899  0.03744  0.03288 
  17.8   0.99955 -0.04975 -0.0921  0.04207  0.04335  0.0287  
  17.7   0.99147 -0.05059 -0.08914 0.04312  0.04485  0.03279 
  17.6   0.98612 -0.04986 -0.08077 0.04696  0.05284  0.03686 
  17.5   0.99073 -0.04989 -0.07488 0.04949  0.05342  0.01043 
  17.4   1.00274 -0.0497  -0.0681  0.06712  0.07498  6.6E-4  
  17.3   1.00068 -0.0471  -0.06182 0.06556  0.05807  0.00726 
  17.2   0.99374 -0.04652 -0.05958 0.051    0.06202  6.7E-4  
  17.1   1.07491 -0.03884 -0.02287 0.11153  0.07731  -0.0746 
  17.0   1.08199 -0.03681 -0.01424 0.11026  0.08361  -0.10368
  16.9   0.96481 -0.04866 -0.04845 0.05582  0.06113  -0.00972
  16.8   0.94028 -0.04913 -0.05778 0.04739  0.05633  -0.01236
  16.7   0.92392 -0.04825 -0.05967 0.0382   0.06043  -0.01199
  16.6   0.91821 -0.04851 -0.05762 0.0384   0.05893  0.00406 
  16.5   0.93482 -0.04926 -0.04317 0.06091  0.07203  -0.02144
  16.4   0.92881 -0.04822 -0.03649 0.06333  0.06747  -0.04082
  16.3   0.86828 -0.04814 -0.05984 0.02075  0.03243  -0.00756
  16.2   0.83153 -0.04813 -0.0722  -0.00442 0.0241   -0.01025
  16.1   0.82494 -0.04621 -0.07515 -0.01164 0.01701  -0.0070 
  16.0   0.83592 -0.04231 -0.06806 -0.02023 0.01644  -0.00821
  15.9   0.84229 -0.04222 -0.06474 -0.0265  0.0243   -0.01246
  15.8   0.85319 -0.03675 -0.05616 -0.04298 0.01966  -0.01815
  15.7   0.87129 -0.03438 -0.05768 -0.0585  0.03402  -0.03795
  15.6   0.97941 -0.03476 -0.06153 -0.03451 0.08992  -0.04085
  15.5   0.97989 -0.03454 -0.05454 -0.04604 0.10958  -0.06372
  15.4   0.88808 -0.02326 -0.04115 -0.10732 0.03223  -0.03499
  15.3   0.87881 -0.01943 -0.03841 -0.12525 0.021    -0.042  
  15.2   0.88406 -0.01622 -0.03244 -0.13755 0.01312  -0.05083
  15.1   0.89451 -0.01278 -0.02776 -0.14962 0.02085  -0.05092
  15.0   0.89772 -0.01113 -0.01977 -0.15309 0.02422  -0.05505
  14.9   0.90601 -0.00956 -0.01018 -0.15671 0.03259  -0.0635 
  14.8   0.90231 -0.00797 -0.01091 -0.16447 0.02579  -0.06862
  14.7   0.90209 -0.0059  -0.0079  -0.17286 0.02522  -0.07261
  14.6   0.88875 -0.00604 -0.00439 -0.17906 0.02871  -0.07407
  14.5   0.88804 -0.00683 0.00181  -0.17578 0.03022  -0.07186
  14.4   0.8943  -0.01079 -0.00172 -0.17071 0.04537  -0.0774 
  14.3   0.90123 -0.01276 -0.00458 -0.15907 0.06059  -0.0881 
  14.2   0.87197 -0.01063 0.01191  -0.15813 0.0515   -0.08504
  14.1   0.84676 -0.01022 0.01301  -0.15262 0.03782  -0.0775 
  14.0   0.82445 -0.01311 0.01152  -0.15069 0.04335  -0.07461
  13.9   0.81547 -0.01211 0.01223  -0.15654 0.03989  -0.06505
  13.8   0.80432 -0.01449 0.01462  -0.15422 0.04376  -0.06326
  13.7   0.79805 -0.01558 0.01924  -0.14052 0.04504  -0.0598 
  13.6   0.8073  -0.0141  0.02668  -0.13492 0.05196  -0.07568
  13.5   0.8105  -0.0123  0.03324  -0.13349 0.04746  -0.08226
  13.4   0.79798 -0.01265 0.03551  -0.13801 0.0461   -0.06992
  13.3   0.7868  -0.0137  0.03371  -0.13849 0.04402  -0.06768
  13.2   0.78221 -0.01547 0.03707  -0.12832 0.04648  -0.0713 
  13.1   0.77675 -0.01475 0.03758  -0.12885 0.04056  -0.0729 
  13.0   0.78284 -0.01343 0.04166  -0.12166 0.03999  -0.07214
  12.9   0.95078 -0.00825 0.10161  6.7E-4   0.15069  -0.1218 
  12.8   1.21    0.00494  0.18206  0.16328  0.27567  -0.12921
  12.7   0.92194 -0.01336 0.11699  0.02473  0.11881  -0.12134
  12.6   0.82285 -0.02094 0.08694  -0.0094  0.09315  -0.09769
  12.5   0.75494 -0.02617 0.07088  -0.0178  0.0696   -0.08737
  12.4   0.69516 -0.03354 0.05737  -0.01471 0.057    -0.06744
  12.3   0.66843 -0.03691 0.05402  0.00567  0.04382  -0.07743
  12.2   0.59099 -0.04394 0.03445  0.00409  0.01413  -0.05741
  12.1   0.54821 -0.0498  0.03101  0.01995  0.0091   -0.06056
  12.0   0.52266 -0.05322 0.02573  0.04127  0.00428  -0.06108
  11.9   0.48068 -0.0567  0.01783  0.04524  -0.01847 -0.05954
  11.8   0.43742 -0.05873 0.00874  0.04363  -0.03542 -0.05813
  11.7   0.41754 -0.05954 0.00845  0.0496   -0.04551 -0.05824
  11.6   0.41708 -0.06123 0.01599  0.06844  -0.04016 -0.07488
  11.5   0.43563 -0.06216 0.02915  0.09765  -0.02441 -0.0879 
  11.4   0.4897  -0.05983 0.05469  0.14816  -0.00243 -0.12105
  11.3   0.59442 -0.05938 0.10515  0.23693  0.05799  -0.17675
  11.2   0.55687 -0.05956 0.10199  0.22689  0.04174  -0.18417
  11.1   0.33512 -0.0623  0.01341  0.0821   -0.09726 -0.07735
  11.0   0.27954 -0.06346 -0.00523 0.05124  -0.12022 -0.07442
  10.9   0.23985 -0.06367 -0.01891 0.02966  -0.14056 -0.06355
  10.8   0.22979 -0.06335 -0.01993 0.0282   -0.14622 -0.05923
  10.7   0.22586 -0.06242 -0.01781 0.02709  -0.14992 -0.06219
  10.6   0.22258 -0.06313 -0.01942 0.02752  -0.14135 -0.06278
  10.5   0.21947 -0.06549 -0.02651 0.0247   -0.14255 -0.06153
  10.4   0.1918  -0.06126 -0.02447 0.01601  -0.16138 -0.05166
  10.3   0.18183 -0.06042 -0.02281 0.01248  -0.16554 -0.05611
  10.2   0.17474 -0.05938 -0.02308 0.01034  -0.1699  -0.05649
  10.1   0.1717  -0.05859 -0.02134 0.01187  -0.16984 -0.05676
  10.0   0.16674 -0.05794 -0.01983 0.01127  -0.17213 -0.05372
  9.9    0.1636  -0.05696 -0.01888 0.01223  -0.17134 -0.05636
  9.8    0.16314 -0.05624 -0.01676 0.01459  -0.17024 -0.05993
  9.7    0.18921 -0.0527  -0.00655 0.02654  -0.1632  -0.07297
  9.6    0.17267 -0.05334 -0.01075 0.01844  -0.16191 -0.06059
  9.5    0.16558 -0.05383 -0.0109  0.01666  -0.15867 -0.05008
  9.4    0.16709 -0.05266 -0.00898 0.01558  -0.15324 -0.04458
  9.3    0.17258 -0.05174 -0.00585 0.01615  -0.14476 -0.04298
  9.2    0.17839 -0.05039 -0.00224 0.01629  -0.13555 -0.03626
  9.1    0.18906 -0.04975 0.00226  0.01563  -0.12448 -0.03105
  9.0    0.21531 -0.04916 0.00993  0.02336  -0.10433 -0.02525
  8.9    0.2352  -0.04661 0.02308  0.02499  -0.08898 -0.0173 
  8.8    0.28453 -0.0439  0.0442   0.04502  -0.06155 -0.01645
  8.7    0.35498 -0.0397  0.07164  0.06898  -0.01894 -0.00701
  8.6    0.41933 -0.03423 0.10021  0.07933  0.0093   -0.00854
  8.5    0.43078 -0.0298  0.10339  0.05257  0.00561  0.01773 
  8.4    0.43523 -0.02509 0.10221  0.01728  -0.00406 0.04758 
  8.3    0.45758 -0.01944 0.11178  -0.00752 -0.0058  0.05816 
  8.2    0.48104 -0.01407 0.12413  -0.03018 -0.00581 0.07354 
  8.1    0.52571 -0.00897 0.14424  -0.03058 0.00899  0.07476 
  8.0    0.5956  -0.0034  0.17666  -1.7E-4  0.0436   0.0621  
  7.9    0.66387 -7.8E-4  0.20989  0.04511  0.0866   0.0488  
  7.8    0.70545 0.00171  0.23042  0.07776  0.104    0.04775 
  7.7    0.69787 -0.00203 0.22583  0.08502  0.11003  0.04996 
  7.6    0.70129 -0.00186 0.23451  0.10424  0.11505  0.03818 
  7.5    0.59309 -0.0053  0.19409  0.04683  0.05643  0.08843 
  7.4    0.46987 -0.0128  0.14276  -0.01213 0.01127  0.12293 
  7.3    0.37766 -0.02098 0.11193  -0.0256  -0.01287 0.13537 
  7.2    0.33807 -0.02209 0.09441  -0.04713 -0.03249 0.14339 
  7.1    0.32988 -0.0217  0.09023  -0.05416 -0.0349  0.14886 
  7.0    0.33999 -0.02344 0.09272  -0.019   -0.0189  0.14308 
  6.9    0.28583 -0.02554 0.07649  -0.02182 -0.05077 0.14044 
  6.8    0.26079 -0.02703 0.07211  -0.04362 -0.05163 0.13769 
  6.7    0.27866 -0.02138 0.0742   -0.05746 -0.05263 0.1493  
  6.6    0.26549 -0.02175 0.06798  -0.05445 -0.05723 0.14113 
  6.5    0.24658 -0.02467 0.06255  -0.04617 -0.05521 0.13741 
  6.4    0.26215 -0.02537 0.07274  -0.02152 -0.04348 0.1319  
  6.3    0.31764 -0.02429 0.1035   0.0271   -0.00612 0.11004 
